year,country,value
1970,Belgium,0
1971,Belgium,0
1972,Belgium,0
1973,Belgium,0
1974,Belgium,0
1975,Belgium,0
1976,Belgium,0
1977,Belgium,0
1978,Belgium,1
1979,Belgium,1
1980,Belgium,2
1981,Belgium,6
1982,Belgium,0
1983,Belgium,2
1984,Belgium,0
1985,Belgium,10
1986,Belgium,0
1987,Belgium,1
1988,Belgium,1
1989,Belgium,4
1990,Belgium,2
1991,Belgium,1
1992,Belgium,1
1993,Belgium,2
1994,Belgium,0
1995,Belgium,0
1996,Belgium,0
1997,Belgium,4
1998,Belgium,0
1999,Belgium,0
2000,Belgium,0
2001,Belgium,0
2002,Belgium,0
2003,Belgium,0
2004,Belgium,0
2005,Belgium,0
2006,Belgium,0
2007,Belgium,0
2008,Belgium,0
2009,Belgium,0
2010,Belgium,0
2011,Belgium,0
2012,Belgium,1
2013,Belgium,0
2014,Belgium,4
1970,Denmark,0
1971,Denmark,0
1972,Denmark,0
1973,Denmark,0
1974,Denmark,0
1975,Denmark,0
1976,Denmark,0
1977,Denmark,0
1978,Denmark,0
1979,Denmark,0
1980,Denmark,0
1981,Denmark,0
1982,Denmark,0
1983,Denmark,0
1984,Denmark,0
1985,Denmark,1
1986,Denmark,0
1987,Denmark,0
1988,Denmark,0
1989,Denmark,0
1990,Denmark,0
1991,Denmark,0
1992,Denmark,1
1993,Denmark,0
1994,Denmark,0
1995,Denmark,0
1996,Denmark,0
1997,Denmark,0
1998,Denmark,0
1999,Denmark,0
2000,Denmark,0
2001,Denmark,0
2002,Denmark,0
2003,Denmark,0
2004,Denmark,0
2005,Denmark,0
2006,Denmark,0
2007,Denmark,0
2008,Denmark,0
2009,Denmark,0
2010,Denmark,0
2011,Denmark,0
2012,Denmark,0
2013,Denmark,0
2014,Denmark,0
1970,France,0
1971,France,0
1972,France,1
1973,France,5
1974,France,3
1975,France,3
1976,France,7
1977,France,3
1978,France,21
1979,France,11
1980,France,20
1981,France,8
1982,France,17
1983,France,19
1984,France,15
1985,France,17
1986,France,25
1987,France,5
1988,France,6
1989,France,3
1990,France,3
1991,France,6
1992,France,9
1993,France,5
1994,France,7
1995,France,19
1996,France,18
1997,France,0
1998,France,1
1999,France,0
2000,France,4
2001,France,0
2002,France,0
2003,France,0
2004,France,0
2005,France,0
2006,France,1
2007,France,3
2008,France,0
2009,France,0
2010,France,0
2011,France,0
2012,France,8
2013,France,0
2014,France,1
1970,Germany,0
1971,Germany,0
1972,Germany,0
1973,Germany,0
1974,Germany,0
1975,Germany,0
1976,Germany,0
1977,Germany,0
1978,Germany,0
1979,Germany,0
1980,Germany,0
1981,Germany,0
1982,Germany,0
1983,Germany,0
1984,Germany,0
1985,Germany,0
1986,Germany,0
1987,Germany,0
1988,Germany,0
1989,Germany,0
1990,Germany,0
1991,Germany,10
1992,Germany,17
1993,Germany,27
1994,Germany,2
1995,Germany,10
1996,Germany,1
1997,Germany,0
1998,Germany,0
1999,Germany,3
2000,Germany,1
2001,Germany,3
2002,Germany,0
2003,Germany,0
2004,Germany,1
2005,Germany,2
2006,Germany,2
2007,Germany,1
2008,Germany,0
2009,Germany,0
2010,Germany,0
2011,Germany,2
2012,Germany,0
2013,Germany,0
2014,Germany,0
1970,Greece,2
1971,Greece,0
1972,Greece,0
1973,Greece,5
1974,Greece,92
1975,Greece,1
1976,Greece,14
1977,Greece,1
1978,Greece,0
1979,Greece,1
1980,Greece,5
1981,Greece,3
1982,Greece,2
1983,Greece,4
1984,Greece,5
1985,Greece,64
1986,Greece,6
1987,Greece,2
1988,Greece,14
1989,Greece,4
1990,Greece,2
1991,Greece,15
1992,Greece,2
1993,Greece,0
1994,Greece,3
1995,Greece,0
1996,Greece,0
1997,Greece,1
1998,Greece,0
1999,Greece,1
2000,Greece,1
2001,Greece,0
2002,Greece,0
2003,Greece,0
2004,Greece,0
2005,Greece,0
2006,Greece,0
2007,Greece,0
2008,Greece,0
2009,Greece,1
2010,Greece,4
2011,Greece,0
2012,Greece,0
2013,Greece,2
2014,Greece,0
1970,Ireland,1
1971,Ireland,1
1972,Ireland,6
1973,Ireland,4
1974,Ireland,34
1975,Ireland,7
1976,Ireland,5
1977,Ireland,2
1978,Ireland,1
1979,Ireland,9
1980,Ireland,12
1981,Ireland,2
1982,Ireland,2
1983,Ireland,5
1984,Ireland,1
1985,Ireland,2
1986,Ireland,0
1987,Ireland,6
1988,Ireland,0
1989,Ireland,3
1990,Ireland,0
1991,Ireland,3
1992,Ireland,0
1993,Ireland,1
1994,Ireland,4
1995,Ireland,1
1996,Ireland,1
1997,Ireland,0
1998,Ireland,1
1999,Ireland,0
2000,Ireland,0
2001,Ireland,0
2002,Ireland,0
2003,Ireland,0
2004,Ireland,0
2005,Ireland,0
2006,Ireland,1
2007,Ireland,0
2008,Ireland,0
2009,Ireland,0
2010,Ireland,0
2011,Ireland,1
2012,Ireland,0
2013,Ireland,0
2014,Ireland,0
1970,Italy,0
1971,Italy,0
1972,Italy,1
1973,Italy,62
1974,Italy,26
1975,Italy,0
1976,Italy,10
1977,Italy,25
1978,Italy,21
1979,Italy,24
1980,Italy,125
1981,Italy,24
1982,Italy,12
1983,Italy,2
1984,Italy,23
1985,Italy,19
1986,Italy,1
1987,Italy,3
1988,Italy,6
1989,Italy,0
1990,Italy,0
1991,Italy,0
1992,Italy,17
1993,Italy,14
1994,Italy,2
1995,Italy,0
1996,Italy,0
1997,Italy,0
1998,Italy,0
1999,Italy,1
2000,Italy,0
2001,Italy,0
2002,Italy,1
2003,Italy,0
2004,Italy,1
2005,Italy,1
2006,Italy,0
2007,Italy,0
2008,Italy,0
2009,Italy,0
2010,Italy,0
2011,Italy,0
2012,Italy,0
2013,Italy,0
2014,Italy,0
1970,Netherlands,0
1971,Netherlands,0
1972,Netherlands,0
1973,Netherlands,1
1974,Netherlands,1
1975,Netherlands,4
1976,Netherlands,0
1977,Netherlands,9
1978,Netherlands,1
1979,Netherlands,3
1980,Netherlands,0
1981,Netherlands,0
1982,Netherlands,0
1983,Netherlands,0
1984,Netherlands,0
1985,Netherlands,0
1986,Netherlands,0
1987,Netherlands,0
1988,Netherlands,4
1989,Netherlands,0
1990,Netherlands,2
1991,Netherlands,0
1992,Netherlands,0
1993,Netherlands,0
1994,Netherlands,0
1995,Netherlands,1
1996,Netherlands,0
1997,Netherlands,6
1998,Netherlands,0
1999,Netherlands,0
2000,Netherlands,0
2001,Netherlands,0
2002,Netherlands,1
2003,Netherlands,0
2004,Netherlands,1
2005,Netherlands,0
2006,Netherlands,0
2007,Netherlands,0
2008,Netherlands,0
2009,Netherlands,7
2010,Netherlands,0
2011,Netherlands,0
2012,Netherlands,0
2013,Netherlands,0
2014,Netherlands,0
1970,Portugal,0
1971,Portugal,0
1972,Portugal,0
1973,Portugal,0
1974,Portugal,0
1975,Portugal,0
1976,Portugal,3
1977,Portugal,0
1978,Portugal,0
1979,Portugal,3
1980,Portugal,3
1981,Portugal,2
1982,Portugal,3
1983,Portugal,8
1984,Portugal,3
1985,Portugal,1
1986,Portugal,1
1987,Portugal,0
1988,Portugal,2
1989,Portugal,1
1990,Portugal,0
1991,Portugal,0
1992,Portugal,0
1993,Portugal,0
1994,Portugal,2
1995,Portugal,0
1996,Portugal,0
1997,Portugal,0
1998,Portugal,0
1999,Portugal,0
2000,Portugal,0
2001,Portugal,0
2002,Portugal,0
2003,Portugal,0
2004,Portugal,0
2005,Portugal,0
2006,Portugal,0
2007,Portugal,0
2008,Portugal,0
2009,Portugal,0
2010,Portugal,0
2011,Portugal,0
2012,Portugal,0
2013,Portugal,0
2014,Portugal,0
1970,Spain,0
1971,Spain,0
1972,Spain,2
1973,Spain,6
1974,Spain,19
1975,Spain,31
1976,Spain,17
1977,Spain,44
1978,Spain,84
1979,Spain,112
1980,Spain,116
1981,Spain,39
1982,Spain,42
1983,Spain,42
1984,Spain,51
1985,Spain,70
1986,Spain,57
1987,Spain,64
1988,Spain,25
1989,Spain,29
1990,Spain,32
1991,Spain,46
1992,Spain,29
1993,Spain,19
1994,Spain,17
1995,Spain,18
1996,Spain,5
1997,Spain,11
1998,Spain,6
1999,Spain,0
2000,Spain,29
2001,Spain,14
2002,Spain,5
2003,Spain,3
2004,Spain,193
2005,Spain,0
2006,Spain,2
2007,Spain,0
2008,Spain,3
2009,Spain,3
2010,Spain,0
2011,Spain,0
2012,Spain,0
2013,Spain,0
2014,Spain,0
1970,United Kingdom,20
1971,United Kingdom,110
1972,United Kingdom,368
1973,United Kingdom,210
1974,United Kingdom,234
1975,United Kingdom,245
1976,United Kingdom,264
1977,United Kingdom,103
1978,United Kingdom,81
1979,United Kingdom,133
1980,United Kingdom,115
1981,United Kingdom,86
1982,United Kingdom,95
1983,United Kingdom,77
1984,United Kingdom,69
1985,United Kingdom,64
1986,United Kingdom,63
1987,United Kingdom,104
1988,United Kingdom,372
1989,United Kingdom,66
1990,United Kingdom,77
1991,United Kingdom,88
1992,United Kingdom,94
1993,United Kingdom,3
1994,United Kingdom,66
1995,United Kingdom,11
1996,United Kingdom,15
1997,United Kingdom,23
1998,United Kingdom,45
1999,United Kingdom,7
2000,United Kingdom,7
2001,United Kingdom,8
2002,United Kingdom,2
2003,United Kingdom,2
2004,United Kingdom,0
2005,United Kingdom,57
2006,United Kingdom,0
2007,United Kingdom,4
2008,United Kingdom,0
2009,United Kingdom,3
2010,United Kingdom,0
2011,United Kingdom,1
2012,United Kingdom,1
2013,United Kingdom,4
2014,United Kingdom,0
